INFO 2024-10-23 00:28:21,229 autoreload 20808 12844 Watching for file changes with StatReloader
INFO 2024-10-23 00:28:26,495 basehttp 20808 13248 "GET / HTTP/1.1" 200 4211
WARNING 2024-10-23 00:28:26,604 log 20808 13248 Not Found: /favicon.ico
WARNING 2024-10-23 00:28:26,605 basehttp 20808 13248 "GET /favicon.ico HTTP/1.1" 404 2515
INFO 2024-10-23 00:28:35,048 autoreload 20808 12844 C:\Users\user\Desktop\law_helper\law_helper\api\admin.py changed, reloading.
INFO 2024-10-23 00:28:35,831 autoreload 17812 16756 Watching for file changes with StatReloader
INFO 2024-10-31 11:36:26,238 autoreload 4012 21224 Watching for file changes with StatReloader
INFO 2024-10-31 11:36:33,362 autoreload 4012 21224 C:\Users\user\Desktop\law_helper\law_helper\manage.py changed, reloading.
INFO 2024-10-31 11:36:34,531 autoreload 7888 21216 Watching for file changes with StatReloader
INFO 2024-10-31 11:36:42,412 basehttp 7888 2208 "GET / HTTP/1.1" 200 4919
WARNING 2024-10-31 11:36:42,517 log 7888 2208 Not Found: /favicon.ico
WARNING 2024-10-31 11:36:42,517 basehttp 7888 2208 "GET /favicon.ico HTTP/1.1" 404 2515
INFO 2024-10-31 11:36:51,745 middleware 7888 2208 API Request: POST /api/query/
INFO 2024-10-31 11:36:51,749 gemini 7888 2208 Successfully initialized Gemini API
INFO 2024-10-31 11:36:51,750 views 7888 2208 Received POST request to QueryView
INFO 2024-10-31 11:36:51,751 views 7888 2208 Request data: {"question": "\u65e9\u5b89"}
INFO 2024-10-31 11:36:51,752 views 7888 2208 Found 0 regulations
INFO 2024-10-31 11:36:51,752 views 7888 2208 Sending request to Gemini
INFO 2024-10-31 11:36:51,752 gemini 7888 2208 Preparing to send question to Gemini: 早安...
INFO 2024-10-31 11:36:55,266 gemini 7888 2208 Received response from Gemini
INFO 2024-10-31 11:36:55,266 views 7888 2208 Received response from Gemini
INFO 2024-10-31 11:36:55,266 views 7888 2208 Sending successful response
INFO 2024-10-31 11:36:55,266 middleware 7888 2208 API Response: 200 /api/query/
INFO 2024-10-31 11:36:55,266 basehttp 7888 2208 "POST /api/query/ HTTP/1.1" 200 143
INFO 2024-10-31 11:38:04,080 middleware 7888 2208 API Request: POST /api/query/
INFO 2024-10-31 11:38:04,080 gemini 7888 2208 Successfully initialized Gemini API
INFO 2024-10-31 11:38:04,085 views 7888 2208 Received POST request to QueryView
INFO 2024-10-31 11:38:04,086 views 7888 2208 Request data: {"question": "\u6211\u53ef\u4ee5\u7533\u8acb\u734e\u5b78\u91d1\u55ce"}
INFO 2024-10-31 11:38:04,089 views 7888 2208 Found 0 regulations
INFO 2024-10-31 11:38:04,089 views 7888 2208 Sending request to Gemini
INFO 2024-10-31 11:38:04,089 gemini 7888 2208 Preparing to send question to Gemini: 我可以申請獎學金嗎...
INFO 2024-10-31 11:38:07,625 gemini 7888 2208 Received response from Gemini
INFO 2024-10-31 11:38:07,625 views 7888 2208 Received response from Gemini
INFO 2024-10-31 11:38:07,625 views 7888 2208 Sending successful response
INFO 2024-10-31 11:38:07,625 middleware 7888 2208 API Response: 200 /api/query/
INFO 2024-10-31 11:38:07,625 basehttp 7888 2208 "POST /api/query/ HTTP/1.1" 200 139
INFO 2024-10-31 11:38:14,239 middleware 7888 2208 API Request: POST /api/query/
INFO 2024-10-31 11:38:14,242 gemini 7888 2208 Successfully initialized Gemini API
INFO 2024-10-31 11:38:14,242 views 7888 2208 Received POST request to QueryView
INFO 2024-10-31 11:38:14,242 views 7888 2208 Request data: {"question": "\u6211\u53ef\u4ee5\u7533\u8acb\u734e\u5b78\u91d1\u4e86\u55ce"}
INFO 2024-10-31 11:38:14,246 views 7888 2208 Found 0 regulations
INFO 2024-10-31 11:38:14,248 views 7888 2208 Sending request to Gemini
INFO 2024-10-31 11:38:14,248 gemini 7888 2208 Preparing to send question to Gemini: 我可以申請獎學金了嗎...
INFO 2024-10-31 11:38:17,514 gemini 7888 2208 Received response from Gemini
INFO 2024-10-31 11:38:17,514 views 7888 2208 Received response from Gemini
INFO 2024-10-31 11:38:17,514 views 7888 2208 Sending successful response
INFO 2024-10-31 11:38:17,514 middleware 7888 2208 API Response: 200 /api/query/
INFO 2024-10-31 11:38:17,514 basehttp 7888 2208 "POST /api/query/ HTTP/1.1" 200 184
INFO 2024-10-31 20:46:44,621 autoreload 6820 11200 Watching for file changes with StatReloader
INFO 2024-10-31 20:51:08,192 autoreload 14840 19800 Watching for file changes with StatReloader
INFO 2024-10-31 20:51:17,892 basehttp 14840 9248 "GET / HTTP/1.1" 200 4919
INFO 2024-10-31 20:51:21,919 middleware 14840 9248 API Request: POST /api/query/
INFO 2024-10-31 20:51:21,920 gemini 14840 9248 Successfully initialized Gemini API
INFO 2024-10-31 20:51:21,921 views 14840 9248 Received POST request to QueryView
INFO 2024-10-31 20:51:21,922 views 14840 9248 Request data: {"question": "132"}
INFO 2024-10-31 20:51:21,923 views 14840 9248 Found 0 regulations
INFO 2024-10-31 20:51:21,924 views 14840 9248 Sending request to Gemini
INFO 2024-10-31 20:51:21,925 gemini 14840 9248 Preparing to send question to Gemini: 132...
INFO 2024-10-31 20:51:24,974 gemini 14840 9248 Received response from Gemini
INFO 2024-10-31 20:51:24,975 views 14840 9248 Received response from Gemini
INFO 2024-10-31 20:51:24,976 views 14840 9248 Sending successful response
INFO 2024-10-31 20:51:24,976 middleware 14840 9248 API Response: 200 /api/query/
INFO 2024-10-31 20:51:24,977 basehttp 14840 9248 "POST /api/query/ HTTP/1.1" 200 118
